name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"R$anim.<init>()","android.support.v7.appcompat.R$anim.<init>().f68e2a40968ed1ae2105235a559e53e3",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,10,1001,N,"void R$anim.<init>()(class android.support.v7.appcompat.R$anim *this)",0,0.00,0.00,0,0,10
"R$attr.<init>()","android.support.v7.appcompat.R$attr.<init>().4b16d7fc86ee53922e807a698bc8357d",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,20,1001,N,"void R$attr.<init>()(class android.support.v7.appcompat.R$attr *this)",0,0.00,0.00,0,0,20
"R$bool.<init>()","android.support.v7.appcompat.R$bool.<init>().513ca66bdb7dafd8acb4586d6a3df2bb",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,191,1001,N,"void R$bool.<init>()(class android.support.v7.appcompat.R$bool *this)",0,0.00,0.00,0,0,191
"R$color.<init>()","android.support.v7.appcompat.R$color.<init>().546aaf3a2fb56fdd919aef26f66f748b",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,199,1001,N,"void R$color.<init>()(class android.support.v7.appcompat.R$color *this)",0,0.00,0.00,0,0,199
"R$dimen.<init>()","android.support.v7.appcompat.R$dimen.<init>().fb798a637dc4343e2941e978b09f58c1",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,259,1001,N,"void R$dimen.<init>()(class android.support.v7.appcompat.R$dimen *this)",0,0.00,0.00,0,0,259
"R$drawable.<init>()","android.support.v7.appcompat.R$drawable.<init>().cf808912f82bfd1a8d5a10da59e92e52",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,309,1001,N,"void R$drawable.<init>()(class android.support.v7.appcompat.R$drawable *this)",0,0.00,0.00,0,0,309
"R$id.<init>()","android.support.v7.appcompat.R$id.<init>().1f75df18e6e355ba7ad762e5c8742eb3",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,366,1001,N,"void R$id.<init>()(class android.support.v7.appcompat.R$id *this)",0,0.00,0.00,0,0,366
"R$integer.<init>()","android.support.v7.appcompat.R$integer.<init>().12f2d1314790885f504ff6caa5d2f05e",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,431,1001,N,"void R$integer.<init>()(class android.support.v7.appcompat.R$integer *this)",0,0.00,0.00,0,0,431
"R$layout.<init>()","android.support.v7.appcompat.R$layout.<init>().04d947bc25187c80d4b4694ea86e6ae2",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,436,1001,N,"void R$layout.<init>()(class android.support.v7.appcompat.R$layout *this)",0,0.00,0.00,0,0,436
"R$string.<init>()","android.support.v7.appcompat.R$string.<init>().45e9ae6917abeeb3a98960022c989b21",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,461,1001,N,"void R$string.<init>()(class android.support.v7.appcompat.R$string *this)",0,0.00,0.00,0,0,461
